wallet_id,action,timestamp,value,gas,gasUsed
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1493254201,0.2,333333,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1493254443,0.007,27961,23301
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1493254495,0.007,27961,23301
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1493254558,0.0,61078,35898
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1493490509,0.02,120763,100636
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1495613500,0.01,650000,533513
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1495613775,0.0,300000,136680
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1495613921,0.01,650000,533513
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1495614301,0.01,650000,533385
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1495699151,0.0,3086400,1587891
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1496631013,0.0,300000,300000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1496631300,0.0,300000,106744
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1496631434,0.0,300000,121744
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1496631657,0.0,300000,106680
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1496634349,0.299,121001,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1496634498,0.25,940000,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1496891000,0.0,300000,81116
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1496891131,0.0,300000,81116
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1496891177,0.0,300000,300000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1496891219,0.0,300000,81052
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1499134606,0.0,200000,93219
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1499134996,0.0,1377607,1377607
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1499135110,0.0,47176,47175
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1499135467,0.0,49534,49533
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1499135904,0.005,31500,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1499135955,0.01,34866,23244
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1499136561,0.01,32928,21952
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1503091279,1.9,31500,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1503091419,0.0,2118400,289235
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1503091695,0.0,650000,432863
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1503091875,0.0,705200,506866
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1503180059,0.0,786000,586948
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1503180148,0.0,2175200,298215
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1503208535,6.84,121001,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504226467,49.995,121001,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504226564,50.0001,31501,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504848256,0.006678850799551664,21000,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504848850,0.0,4712388,201556
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504848895,0.0,4712388,201556
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504848943,0.0,4712388,201556
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504849196,0.0,5010000,201556
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504849281,0.0,5010000,201556
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504849331,0.0,5010000,201556
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504849351,0.0,4712388,201556
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504849351,0.0,4000000,201556
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504849414,0.0,2000000,201556
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504849428,0.0,2000000,201556
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504849457,0.0,2000000,201556
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504849533,0.0,2000000,41965
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504849538,0.0,2000000,2000000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504849761,0.0,4055378,3379482
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504903794,1.0,31807,21204
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504905767,0.0,2523215,2102679
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504906551,0.0,2724539,2270449
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504906681,0.0,2521728,2101440
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504907919,0.0,38499,25665
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1504908345,0.051,216570,180475
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1505373804,0.05,217568,181307
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1505377224,0.05,121613,21612
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1505378071,0.0,56850,47375
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1505453487,0.0,200000,63219
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1505537389,3.6,142531,95020
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1506037481,0.0,1329340,110778
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1506039998,0.0,21000,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1506045703,0.1,21000,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1506358580,0.0,2225600,320777
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1506359307,0.0,798800,589924
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1506371312,0.0,21000,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1506371376,0.0,132701,110584
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1506371855,0.0,118690,98908
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1506372015,0.0,62771,52309
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1506372871,13.54153282,50000,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1506473711,6.44130953,50000,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1507051733,16.77024,30000,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1507053154,5.0,21000,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1507062809,0.0,300000,124176
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1507063241,0.02,650000,535945
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1507101616,0.01,685980,457319
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1507344700,15.68,21000,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1508271571,4.0,30000,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1508796411,5.0,31500,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1508842372,0.01,21000,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1508842873,2.0,25445,21204
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1509008163,16.799220905697126,21000,21000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,external,1509072307,1.0,31500,21000
