Model,MSE,RMSE,MAE,R2
Random Forest,695.554505259707,26.373367347756467,19.189803601592036,0.985813504171603
XGBoost,640.2990217899787,25.30413052823548,18.496939195905412,0.9869404923225124
CatBoost,537.0875372295441,23.175149130686172,17.63155980755371,0.989045588737081
